company_name,address,email,phone,website,license_id,license_type
GLOBE TRAVEL PTE. LTD.,111 NORTH BRIDGE ROAD #07-09 PENINSULA PLAZA SINGAPORE 179098,globetrvlsg@gmail.com,+6588047861,,TA03459,General
GLOBETROTTERS' PREMIUM TRAVEL CLUB PTE. LTD.,2 SEMBAWANG WALK #01-49 SPRINGHILL SINGAPORE 757616,globetrotter.premium.travel.club@gmail.com,+6580570586,,TA03864,General
GLOBYA PTE. LTD.,703 HOUGANG AVENUE 2 #12-199 SINGAPORE 530703,globya.sg@gmail.com,+6591992302,https://www.globya.info%20,TA03519,General
GLOREE TOURS AND TRAVELS PTE. LTD.,50 CHIN SWEE ROAD #06-04 THONG CHAI BUILDING SINGAPORE 169874,info@gloree.com,+6568444666,https://www.gloree.com,TA01867,General
GLORY TRAVEL AND TOURS PTE. LTD.,101 UPPER CROSS STREET #04-48 PEOPLE'S PARK CENTRE SINGAPORE 058357,mrahim@glorytravelsg.com,+6591070573,,TA03786,General
GLOWORLD TRAVEL PTE. LTD.,502 SERANGOON NORTH AVENUE 4 #08-508 SINGAPORE 550502,sara@gloworld.travel,+6596667844,https://gloworld.travel,TA03200,General
GO CITY PASS ASIA PTE. LIMITED,71 ROBINSON ROAD #14-100/103 SINGAPORE 068895,judy.gauthier@gocity.com,+6591884616,,TA03296N,Niche
GO HOLIDAY 360 PTE. LTD.,90 LORONG 23 GEYLANG #05-03 AGROW BUILDING SINGAPORE 388393,info@goholiday360.com.sg,+6580738669,https://www.goholiday360.com.sg,TA03535,General
GO ZAYAAN PTE. LIMITED,93A SYED ALWI ROAD #02-00 SINGAPORE 207669,wafi@gozayaan.com,+6587407829,,TA03532,General
GOEASYTRIP PTE. LTD.,10 Dunlop street LITTLE INDIA CONSERVATION AREA SINGAPORE 209340,sg.goeasytrip@gmail.com,+6569097642,,TA03521,General
GOH WHERE TRANSPORTATION AND TOURS,473A FERNVALE STREET #21-27 FERNVALE RIVERGROVE SINGAPORE 791473,sales@gohwheregroup.com,+6597848055,,TA03133,General
GOING PLACES TRAVEL PTE LTD,202 BEDOK NORTH STREET 1 #01-485 BEDOK HAVEN SINGAPORE 460202,gptravel@singnet.com.sg,+6564420010,,TA01167,General
GOLD TRAVEL (S) PTE. LTD.,10 JALAN BESAR  #15-01 SIM LIM TOWER SINGAPORE 208787,goaltravelsin@outlook.com,+6590027885,,TA03543,General
GOLDEN DOVE TRAVEL PTE. LTD.,106 POTONG PASIR AVENUE 1 #03-452 HDB-POTONG PASIR SINGAPORE 350106,goldendove.tay@gmail.com,+6597993734,,TA01782,General
GOLDEN M PREMIUM HOLIDAYS PTE. LTD.,207 HENDERSON ROAD #02-05 HENDERSON INDUSTRIAL PARK SINGAPORE 159550,inbound1@gmph.sg,+6568410385,,TA02753,General
GOLDEN SITE PTE. LTD.,11 BEACH ROAD #03-01   SINGAPORE 189675,susan.lee@rwgenting.com%20,+6531575975,,TA02088,General
GOLDEN STAR.SG TRAVEL PTE. LTD.,12 WOODLANDS SQUARE #13-79 WOODS SQUARE TOWER  1 SINGAPORE 737715,goldenstar.sgtravel@gmail.com,+6567269830,,TA03694,General
GOLDEN STATE TRAVEL & SERVICES PTE. LTD.,29 JOO CHIAT LANE #01-20 LEGENDA AT JOO CHIAT SINGAPORE 428126,travel@goldenstateservices.sg,+6563368644,,TA02154,General
GOLDEN TRAVEL SERVICES PTE LTD,20A TEMPLE STREET   SINGAPORE 058565,info@gts.com.sg,+6563232886,https://www.gts.com.sg,TA00019,General
GOLDEN VOYAGER,670 JALAN DAMAI #03-49 EUNOS DAMAI VILLE SINGAPORE 410670,goldenvoyager19@gmail.com,+6590305983,,TA03764,General
GOLDENBELL TRAVEL PTE LTD,10 ANSON ROAD #21-05A INTERNATIONAL PLAZA SINGAPORE 079903,gbtravel@naver.com,+6562262740,,TA01240,General
GOLDJOY TRAVEL PTE. LTD.,6A SHENTON WAY #04-01 OUE DOWNTOWN GALLERY SINGAPORE 068815,partners@goldjoy.com,+6560117260,https://www.goldjoy.com/,TA03646,General
GOLF HOLIDAYS AND TRAVEL PTE. LTD.,18 HOWARD ROAD #07-03 NOVELTY BIZCENTRE SINGAPORE 369585,enquiry@golfholidays.com.sg,+6564231161,https://www.golfholidays.com.sg,TA02055,General
GOLF IT PTE. LTD.,510 EAST COAST ROAD #05-04 COASTARINA SINGAPORE 459135,hello.golfit@gmail.com,+6569695050,,TA03848,General
GOLFBOOKING.SG,507 Serangoon North Ave 4 #08-400 SINGAPORE 550507,enquiry@golfbooking.sg,+6591682061,https://www.golfbooking.sg,TA03701,General
GOLFTRIPZ PTE. LTD.,67 AYER RAJAH CRESCENT #02-10/17 JTC LAUNCHPAD @ ONE-NORTH SINGAPORE 139950,info@golftripz.com,+6531582176,https://www.golftripz.com,TA03202,General
GONGXI EDUCATION PTE. LTD.,1 PARK ROAD #04-52 PEOPLE'S PARK COMPLEX SINGAPORE 059108,info@gongxiedu.com,+6598669589,https://www.gongxiedu.com,TA03571,General
GOSIN TRAVEL PTE. LTD.,1 UBI VIEW #04-26 FOCUS ONE SINGAPORE 408555,gosintravel@gmail.com,+6581380996,,TA03573,General
GOTO TRAVEL PTE. LTD.,317 OUTRAM ROAD #01-30 CONCORDE SHOPPING CENTRE SINGAPORE 169075,hema@gototravelsg.com,+6588052528,,TA03718,General
GOTOGATE (SINGAPORE) PTE. LTD.,18 ROBINSON ROAD #15-01 18 ROBINSON SINGAPORE 048547,finance.uppsala@etraveligroup.com,+6569557643,,TA03531,General
